asset_id,asset_type,business_unit,business_criticality,failed_logons_24h,privileged_changes_7d,suspicious_powershell_7d,suricata_high_alerts_7d,firewall_policy_exposure,attack_path_score,vulnerability_score,control_effectiveness,residual_risk_score,evidence_integrity_score,risk_trend_30d,generated_at
LHT-Asset-061,workstation,network_services,5,1,7,3,6,9,72,64,52,35,73,-10,2026-07-06T07:33:59.592310+00:00
LHT-Asset-062,linux_server,business_applications,4,37,0,5,9,71,26,72,50,48,91,-2,2026-07-06T07:33:59.592310+00:00
LHT-Asset-063,domain_controller,business_applications,5,46,12,12,19,40,30,76,71,75,49,6,2026-07-06T07:33:59.592310+00:00
LHT-Asset-064,domain_controller,finance_operations,4,35,10,0,5,64,70,85,39,47,67,16,2026-07-06T07:33:59.592310+00:00
LHT-Asset-065,domain_controller,business_applications,3,5,2,1,4,31,5,41,40,37,85,34,2026-07-06T07:33:59.592310+00:00
LHT-Asset-066,windows_server,identity_services,5,40,8,8,3,68,11,74,80,45,69,9,2026-07-06T07:33:59.592310+00:00
LHT-Asset-067,windows_server,network_services,1,32,14,11,15,46,91,100,33,78,58,0,2026-07-06T07:33:59.592310+00:00
LHT-Asset-068,domain_controller,identity_services,2,56,17,5,17,54,100,74,37,85,65,31,2026-07-06T07:33:59.592310+00:00
LHT-Asset-069,siem_server,business_applications,5,1,10,4,3,19,53,36,73,34,93,18,2026-07-06T07:33:59.592310+00:00
LHT-Asset-070,windows_server,security_operations,3,34,0,0,5,27,63,80,47,41,70,17,2026-07-06T07:33:59.592310+00:00
LHT-Asset-071,firewall,identity_services,5,42,7,1,1,21,5,83,74,22,64,1,2026-07-06T07:33:59.592310+00:00
LHT-Asset-072,workstation,finance_operations,5,18,2,6,10,85,5,61,50,47,61,-11,2026-07-06T07:33:59.592310+00:00
LHT-Asset-073,application_server,network_services,1,24,4,7,12,61,43,37,92,48,94,1,2026-07-06T07:33:59.592310+00:00
LHT-Asset-074,application_server,security_operations,2,6,9,8,0,31,32,94,72,46,100,23,2026-07-06T07:33:59.592310+00:00
LHT-Asset-075,application_server,business_applications,3,10,1,3,6,21,81,47,85,39,68,14,2026-07-06T07:33:59.592310+00:00
LHT-Asset-076,firewall,security_operations,4,44,4,5,7,36,27,70,73,50,57,22,2026-07-06T07:33:59.592310+00:00
LHT-Asset-077,linux_server,business_applications,2,27,10,2,7,53,86,68,42,44,94,-6,2026-07-06T07:33:59.592310+00:00
LHT-Asset-078,firewall,business_applications,3,35,4,6,3,85,73,70,71,58,97,28,2026-07-06T07:33:59.592310+00:00
LHT-Asset-079,linux_server,security_operations,3,24,8,3,0,58,72,59,84,44,94,32,2026-07-06T07:33:59.592310+00:00
LHT-Asset-080,firewall,security_operations,5,24,5,0,1,35,32,27,97,14,94,0,2026-07-06T07:33:59.592310+00:00
LHT-Asset-081,workstation,network_services,5,12,5,0,8,15,17,19,62,21,80,-18,2026-07-06T07:33:59.592310+00:00
LHT-Asset-082,siem_server,security_operations,5,40,1,6,3,46,44,5,47,45,59,23,2026-07-06T07:33:59.592310+00:00
LHT-Asset-083,workstation,security_operations,4,6,10,1,3,75,67,48,58,30,62,-20,2026-07-06T07:33:59.592310+00:00
LHT-Asset-084,workstation,finance_operations,4,6,8,6,12,21,16,7,94,48,82,31,2026-07-06T07:33:59.592310+00:00
LHT-Asset-085,workstation,network_services,1,82,13,10,15,38,26,67,44,87,58,44,2026-07-06T07:33:59.592310+00:00
LHT-Asset-086,linux_server,network_services,4,6,3,5,12,14,57,86,45,60,91,24,2026-07-06T07:33:59.592310+00:00
LHT-Asset-087,workstation,network_services,5,37,4,3,11,82,72,28,88,44,71,-23,2026-07-06T07:33:59.592310+00:00
LHT-Asset-088,firewall,network_services,4,18,6,4,3,80,61,25,80,32,88,-6,2026-07-06T07:33:59.592310+00:00
LHT-Asset-089,domain_controller,finance_operations,5,15,0,3,9,81,48,94,75,45,95,-18,2026-07-06T07:33:59.592310+00:00
LHT-Asset-090,siem_server,network_services,4,39,7,6,10,18,52,60,92,44,92,-5,2026-07-06T07:33:59.592310+00:00
LHT-Asset-091,domain_controller,network_services,3,24,5,4,12,66,6,51,87,40,84,-23,2026-07-06T07:33:59.592310+00:00
LHT-Asset-092,firewall,business_applications,5,27,7,8,9,70,75,72,40,60,36,1,2026-07-06T07:33:59.592310+00:00
LHT-Asset-093,firewall,identity_services,5,40,9,0,4,21,18,58,64,32,62,19,2026-07-06T07:33:59.592310+00:00
LHT-Asset-094,application_server,business_applications,1,37,6,0,2,61,76,99,38,38,73,1,2026-07-06T07:33:59.592310+00:00
LHT-Asset-095,siem_server,identity_services,4,12,0,6,4,24,39,86,56,39,93,0,2026-07-06T07:33:59.592310+00:00
LHT-Asset-096,workstation,network_services,5,58,14,14,20,100,52,19,55,100,46,40,2026-07-06T07:33:59.592310+00:00
LHT-Asset-097,domain_controller,network_services,1,12,7,6,1,51,55,14,36,38,78,11,2026-07-06T07:33:59.592310+00:00
LHT-Asset-098,firewall,finance_operations,2,12,5,4,1,43,73,76,49,36,89,-21,2026-07-06T07:33:59.592310+00:00
LHT-Asset-099,firewall,finance_operations,3,8,2,2,3,75,37,92,50,35,79,-9,2026-07-06T07:33:59.592310+00:00
LHT-Asset-100,linux_server,business_applications,2,12,2,5,7,13,86,81,52,45,94,-7,2026-07-06T07:33:59.592310+00:00
LHT-Asset-101,domain_controller,identity_services,5,22,3,4,7,86,9,44,54,40,72,4,2026-07-06T07:33:59.592310+00:00
LHT-Asset-102,windows_server,identity_services,3,7,4,6,1,66,45,41,73,47,63,35,2026-07-06T07:33:59.592310+00:00
LHT-Asset-103,domain_controller,identity_services,3,67,5,7,20,56,97,26,11,77,51,4,2026-07-06T07:33:59.592310+00:00
LHT-Asset-104,linux_server,network_services,5,45,7,7,11,59,12,85,78,52,78,-13,2026-07-06T07:33:59.592310+00:00
LHT-Asset-105,firewall,identity_services,5,22,6,8,12,15,86,87,37,63,82,4,2026-07-06T07:33:59.592310+00:00
LHT-Asset-106,siem_server,business_applications,5,49,13,9,16,83,72,44,70,69,54,2,2026-07-06T07:33:59.592310+00:00
LHT-Asset-107,workstation,finance_operations,3,11,6,2,3,82,43,27,74,27,82,-7,2026-07-06T07:33:59.592310+00:00
LHT-Asset-108,firewall,security_operations,4,12,1,6,6,52,32,82,97,49,71,24,2026-07-06T07:33:59.592310+00:00
LHT-Asset-109,siem_server,security_operations,3,35,1,3,11,39,28,15,93,34,66,-11,2026-07-06T07:33:59.592310+00:00
LHT-Asset-110,linux_server,finance_operations,5,26,7,7,0,40,42,93,46,40,95,-23,2026-07-06T07:33:59.592310+00:00
LHT-Asset-111,linux_server,identity_services,1,24,8,8,6,45,58,16,50,52,99,18,2026-07-06T07:33:59.592310+00:00
LHT-Asset-112,firewall,security_operations,2,15,5,5,3,38,83,91,69,49,55,18,2026-07-06T07:33:59.592310+00:00
LHT-Asset-113,firewall,identity_services,3,75,8,13,16,36,100,48,59,84,50,10,2026-07-06T07:33:59.592310+00:00
LHT-Asset-114,domain_controller,security_operations,1,71,10,13,13,37,41,36,83,82,38,40,2026-07-06T07:33:59.592310+00:00
LHT-Asset-115,domain_controller,identity_services,3,28,0,3,0,44,72,69,96,37,83,19,2026-07-06T07:33:59.592310+00:00
LHT-Asset-116,workstation,network_services,4,56,7,6,9,54,60,45,29,53,50,-4,2026-07-06T07:33:59.592310+00:00
LHT-Asset-117,windows_server,identity_services,4,12,7,1,6,68,17,48,79,39,66,27,2026-07-06T07:33:59.592310+00:00
LHT-Asset-118,domain_controller,finance_operations,2,26,7,0,8,16,24,82,92,28,85,-24,2026-07-06T07:33:59.592310+00:00
LHT-Asset-119,firewall,security_operations,2,65,19,9,7,100,93,26,38,71,45,19,2026-07-06T07:33:59.592310+00:00
LHT-Asset-120,application_server,network_services,5,38,9,1,4,67,7,90,86,41,85,27,2026-07-06T07:33:59.592310+00:00
LHT-Asset-121,firewall,security_operations,3,3,6,6,3,47,17,55,98,40,81,25,2026-07-06T07:33:59.592310+00:00
LHT-Asset-122,application_server,security_operations,3,37,7,3,4,75,16,22,69,31,62,4,2026-07-06T07:33:59.592310+00:00
LHT-Asset-123,workstation,security_operations,3,14,6,6,12,24,71,26,38,62,97,29,2026-07-06T07:33:59.592310+00:00
LHT-Asset-124,domain_controller,finance_operations,5,79,12,11,5,100,55,37,42,68,47,11,2026-07-06T07:33:59.592310+00:00
LHT-Asset-125,domain_controller,identity_services,1,34,8,8,7,6,43,20,75,40,62,4,2026-07-06T07:33:59.592310+00:00
LHT-Asset-126,application_server,finance_operations,1,14,3,2,5,27,54,80,81,41,82,21,2026-07-06T07:33:59.592310+00:00
LHT-Asset-127,firewall,business_applications,2,61,14,5,13,94,33,27,71,52,86,-3,2026-07-06T07:33:59.592310+00:00
LHT-Asset-128,workstation,network_services,5,25,9,5,3,38,33,21,97,37,73,24,2026-07-06T07:33:59.592310+00:00
LHT-Asset-129,application_server,finance_operations,3,2,1,3,11,51,20,11,41,35,82,-13,2026-07-06T07:33:59.592310+00:00
LHT-Asset-130,domain_controller,network_services,4,4,10,1,2,39,33,35,81,18,59,1,2026-07-06T07:33:59.592310+00:00
LHT-Asset-131,domain_controller,identity_services,5,35,10,6,8,7,18,46,67,37,68,-19,2026-07-06T07:33:59.592310+00:00
LHT-Asset-132,windows_server,identity_services,1,9,2,5,0,25,18,50,55,25,55,-2,2026-07-06T07:33:59.592310+00:00
LHT-Asset-133,domain_controller,security_operations,3,34,2,4,1,70,32,41,49,32,91,-24,2026-07-06T07:33:59.592310+00:00
LHT-Asset-134,application_server,identity_services,2,65,15,4,13,87,56,100,25,71,43,8,2026-07-06T07:33:59.592310+00:00
LHT-Asset-135,linux_server,network_services,1,51,14,7,11,66,100,100,47,87,48,43,2026-07-06T07:33:59.592310+00:00
LHT-Asset-136,linux_server,finance_operations,4,68,14,2,11,92,38,54,40,72,75,49,2026-07-06T07:33:59.592310+00:00
LHT-Asset-137,domain_controller,finance_operations,3,27,4,3,3,31,70,64,56,39,79,9,2026-07-06T07:33:59.592310+00:00
LHT-Asset-138,domain_controller,security_operations,1,39,9,6,4,37,41,56,74,52,57,31,2026-07-06T07:33:59.592310+00:00
LHT-Asset-139,domain_controller,business_applications,3,26,8,3,2,58,54,91,35,39,85,-4,2026-07-06T07:33:59.592310+00:00
LHT-Asset-140,workstation,security_operations,3,5,6,4,8,12,68,76,57,48,57,17,2026-07-06T07:33:59.592310+00:00
LHT-Asset-141,firewall,business_applications,4,10,2,0,9,85,73,61,87,37,91,-4,2026-07-06T07:33:59.592310+00:00
LHT-Asset-142,workstation,security_operations,1,38,5,3,15,100,81,93,68,83,63,46,2026-07-06T07:33:59.592310+00:00
LHT-Asset-143,firewall,security_operations,5,16,4,2,7,71,23,11,83,27,64,-8,2026-07-06T07:33:59.592310+00:00
LHT-Asset-144,domain_controller,network_services,4,78,14,11,24,69,51,50,44,87,79,4,2026-07-06T07:33:59.592310+00:00
LHT-Asset-145,linux_server,business_applications,4,41,9,6,7,22,87,49,57,51,59,9,2026-07-06T07:33:59.592310+00:00
LHT-Asset-146,domain_controller,security_operations,2,13,2,1,2,60,95,55,88,29,92,-15,2026-07-06T07:33:59.592310+00:00
LHT-Asset-147,workstation,identity_services,1,14,8,3,12,20,27,77,69,40,86,-20,2026-07-06T07:33:59.592310+00:00
LHT-Asset-148,siem_server,network_services,2,40,9,5,2,83,28,12,97,29,73,-15,2026-07-06T07:33:59.592310+00:00
LHT-Asset-149,workstation,business_applications,5,54,12,14,8,87,100,68,50,83,59,16,2026-07-06T07:33:59.592310+00:00
LHT-Asset-150,application_server,network_services,3,26,0,6,5,86,73,41,77,44,57,-24,2026-07-06T07:33:59.592310+00:00
LHT-Asset-151,siem_server,network_services,5,20,1,4,8,19,5,19,61,29,70,-21,2026-07-06T07:33:59.592310+00:00
LHT-Asset-152,workstation,business_applications,1,16,10,0,8,30,64,70,44,36,93,-4,2026-07-06T07:33:59.592310+00:00
LHT-Asset-153,workstation,network_services,1,0,1,0,1,78,95,48,71,27,71,-6,2026-07-06T07:33:59.592310+00:00
LHT-Asset-154,domain_controller,business_applications,3,69,8,11,21,100,100,52,31,100,36,47,2026-07-06T07:33:59.592310+00:00
LHT-Asset-155,firewall,finance_operations,1,18,9,5,3,14,43,27,63,35,86,15,2026-07-06T07:33:59.592310+00:00
LHT-Asset-156,siem_server,network_services,5,28,9,5,1,58,72,46,71,35,64,-8,2026-07-06T07:33:59.592310+00:00
LHT-Asset-157,siem_server,network_services,5,0,5,4,9,69,10,98,83,40,78,-2,2026-07-06T07:33:59.592310+00:00
LHT-Asset-158,workstation,network_services,2,20,2,8,4,46,60,14,88,37,100,-12,2026-07-06T07:33:59.592310+00:00
LHT-Asset-159,workstation,business_applications,1,13,5,7,12,51,7,57,71,47,65,1,2026-07-06T07:33:59.592310+00:00
LHT-Asset-160,firewall,finance_operations,1,41,4,3,3,14,64,83,45,37,72,-11,2026-07-06T07:33:59.592310+00:00
LHT-Asset-161,linux_server,network_services,4,48,14,13,10,88,97,100,74,96,84,41,2026-07-06T07:33:59.592310+00:00
LHT-Asset-162,domain_controller,network_services,4,39,10,5,6,34,18,39,59,43,92,18,2026-07-06T07:33:59.592310+00:00
LHT-Asset-163,linux_server,security_operations,4,7,8,0,11,62,49,53,91,34,89,-18,2026-07-06T07:33:59.592310+00:00
LHT-Asset-164,siem_server,business_applications,3,44,6,6,4,14,26,23,36,38,66,7,2026-07-06T07:33:59.592310+00:00
LHT-Asset-165,linux_server,business_applications,2,42,5,8,0,25,91,52,94,50,94,26,2026-07-06T07:33:59.592310+00:00
LHT-Asset-166,domain_controller,finance_operations,4,24,8,8,7,70,37,78,86,48,97,-18,2026-07-06T07:33:59.592310+00:00
LHT-Asset-167,firewall,business_applications,3,20,7,5,6,59,6,100,82,49,78,23,2026-07-06T07:33:59.592310+00:00
LHT-Asset-168,windows_server,network_services,4,31,0,8,8,68,69,48,59,53,59,0,2026-07-06T07:33:59.592310+00:00
LHT-Asset-169,application_server,security_operations,3,33,7,1,7,62,38,71,60,43,81,15,2026-07-06T07:33:59.592310+00:00
LHT-Asset-170,windows_server,network_services,1,4,9,1,7,26,22,83,41,43,68,24,2026-07-06T07:33:59.592310+00:00
LHT-Asset-171,domain_controller,identity_services,3,33,0,7,7,64,69,48,73,50,77,5,2026-07-06T07:33:59.592310+00:00
LHT-Asset-172,domain_controller,network_services,4,37,9,2,9,32,72,29,52,39,83,-20,2026-07-06T07:33:59.592310+00:00
LHT-Asset-173,linux_server,security_operations,1,17,3,5,1,20,46,78,61,39,86,15,2026-07-06T07:33:59.592310+00:00
LHT-Asset-174,workstation,finance_operations,4,67,12,10,12,69,89,43,35,76,59,13,2026-07-06T07:33:59.592310+00:00
LHT-Asset-175,linux_server,security_operations,3,0,4,3,0,78,58,40,57,28,88,-15,2026-07-06T07:33:59.592310+00:00
LHT-Asset-176,application_server,business_applications,1,19,3,3,5,78,16,70,61,35,87,-19,2026-07-06T07:33:59.592310+00:00
LHT-Asset-177,linux_server,identity_services,4,18,4,1,12,46,73,53,85,53,65,29,2026-07-06T07:33:59.592310+00:00
LHT-Asset-178,windows_server,security_operations,3,88,7,5,24,63,100,40,64,97,54,42,2026-07-06T07:33:59.592310+00:00
LHT-Asset-179,workstation,identity_services,1,3,5,2,8,55,50,99,74,39,82,-24,2026-07-06T07:33:59.592310+00:00
LHT-Asset-180,application_server,network_services,5,14,0,0,10,9,62,13,74,27,79,-5,2026-07-06T07:33:59.592310+00:00
LHT-Asset-181,workstation,security_operations,2,44,2,3,4,71,73,71,64,57,58,34,2026-07-06T07:33:59.592310+00:00
LHT-Asset-182,workstation,security_operations,3,16,9,0,8,80,71,26,63,37,70,7,2026-07-06T07:33:59.592310+00:00
LHT-Asset-183,domain_controller,network_services,3,37,0,6,1,83,21,23,91,30,78,-5,2026-07-06T07:33:59.592310+00:00
LHT-Asset-184,linux_server,business_applications,5,15,4,4,7,39,44,89,79,45,60,13,2026-07-06T07:33:59.592310+00:00
LHT-Asset-185,linux_server,security_operations,3,39,10,3,11,82,26,81,46,50,84,-23,2026-07-06T07:33:59.592310+00:00
LHT-Asset-186,siem_server,security_operations,4,5,10,3,11,76,61,32,36,45,96,-10,2026-07-06T07:33:59.592310+00:00
LHT-Asset-187,application_server,business_applications,4,32,0,5,7,71,57,11,76,47,62,18,2026-07-06T07:33:59.592310+00:00
LHT-Asset-188,windows_server,security_operations,4,25,1,2,5,35,79,76,58,40,76,5,2026-07-06T07:33:59.592310+00:00
LHT-Asset-189,workstation,security_operations,1,30,3,0,8,6,77,11,84,27,65,3,2026-07-06T07:33:59.592310+00:00
LHT-Asset-190,workstation,identity_services,3,55,9,7,12,64,45,76,22,66,62,8,2026-07-06T07:33:59.592310+00:00
LHT-Asset-191,linux_server,network_services,2,50,9,9,18,87,94,100,54,100,76,59,2026-07-06T07:33:59.592310+00:00
LHT-Asset-192,firewall,finance_operations,5,38,14,5,12,100,100,100,16,79,77,18,2026-07-06T07:33:59.592310+00:00
LHT-Asset-193,firewall,identity_services,4,30,6,4,4,62,81,62,65,42,86,2,2026-07-06T07:33:59.592310+00:00
LHT-Asset-194,workstation,finance_operations,4,45,6,0,3,42,21,29,84,28,75,20,2026-07-06T07:33:59.592310+00:00
LHT-Asset-195,domain_controller,network_services,2,27,10,8,3,61,47,39,93,38,72,-19,2026-07-06T07:33:59.592310+00:00
LHT-Asset-196,workstation,security_operations,4,42,3,3,10,29,63,41,64,49,82,17,2026-07-06T07:33:59.592310+00:00
LHT-Asset-197,domain_controller,security_operations,3,16,6,1,8,16,20,69,65,29,68,-19,2026-07-06T07:33:59.592310+00:00
LHT-Asset-198,domain_controller,finance_operations,3,19,0,4,9,19,52,32,58,38,61,1,2026-07-06T07:33:59.592310+00:00
LHT-Asset-199,domain_controller,finance_operations,4,32,4,4,11,89,30,87,45,53,84,-11,2026-07-06T07:33:59.592310+00:00
LHT-Asset-200,linux_server,finance_operations,1,11,7,2,5,49,85,46,89,32,75,-18,2026-07-06T07:33:59.592310+00:00
LHT-Asset-201,windows_server,finance_operations,4,60,10,4,11,36,100,50,62,83,61,64,2026-07-06T07:33:59.592310+00:00
LHT-Asset-202,domain_controller,business_applications,4,37,10,7,12,30,14,59,69,53,89,11,2026-07-06T07:33:59.592310+00:00
LHT-Asset-203,firewall,security_operations,3,1,9,3,12,65,77,93,94,54,73,14,2026-07-06T07:33:59.592310+00:00
LHT-Asset-204,windows_server,business_applications,3,22,10,0,0,37,62,19,74,30,96,29,2026-07-06T07:33:59.592310+00:00
LHT-Asset-205,domain_controller,finance_operations,4,35,2,6,12,82,49,50,39,56,74,-12,2026-07-06T07:33:59.592310+00:00
LHT-Asset-206,application_server,security_operations,3,19,0,2,5,26,17,77,89,29,57,5,2026-07-06T07:33:59.592310+00:00
LHT-Asset-207,firewall,finance_operations,4,20,3,5,1,81,10,42,95,30,58,8,2026-07-06T07:33:59.592310+00:00
LHT-Asset-208,workstation,finance_operations,1,15,7,5,0,37,81,90,97,46,99,28,2026-07-06T07:33:59.592310+00:00
LHT-Asset-209,windows_server,business_applications,2,24,2,4,9,28,19,89,92,38,96,-24,2026-07-06T07:33:59.592310+00:00
LHT-Asset-210,siem_server,finance_operations,4,49,13,6,16,38,100,100,56,79,76,19,2026-07-06T07:33:59.592310+00:00
LHT-Asset-211,application_server,security_operations,1,17,3,4,3,75,16,61,54,33,60,0,2026-07-06T07:33:59.592310+00:00
LHT-Asset-212,firewall,identity_services,5,56,14,16,6,79,52,40,13,81,55,23,2026-07-06T07:33:59.592310+00:00
LHT-Asset-213,domain_controller,identity_services,3,2,2,7,10,63,52,62,74,53,87,9,2026-07-06T07:33:59.592310+00:00
LHT-Asset-214,domain_controller,identity_services,1,0,8,1,0,22,30,22,39,31,94,35,2026-07-06T07:33:59.592310+00:00
