asset_id,asset_type,high_risk_probability,predicted_risk_tier,validation_outcome,top_risk_contributors,explainability_statement,generated_at
LHT-Asset-011,application_server,0.007,Low,True Negative,"[{""feature"": ""business_criticality"", ""feature_value"": 2.0, ""contribution"": -1.369332, ""direction"": ""Reduces predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 12.0, ""contribution"": 0.732535, ""direction"": ""Increases predicted risk""}, {""feature"": ""anomaly_signal_count"", ""feature_value"": 3.0, ""contribution"": -0.596345, ""direction"": ""Reduces predicted risk""}, {""feature"": ""identity_risk_score"", ""feature_value"": 37.0, ""contribution"": 0.497409, ""direction"": ""Increases predicted risk""}, {""feature"": ""detection_gap_score"", ""feature_value"": 18.0, ""contribution"": -0.472571, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.238570+00:00
LHT-Asset-012,firewall,0.2357,Low,True Negative,"[{""feature"": ""business_criticality"", ""feature_value"": 4.0, ""contribution"": 1.217184, ""direction"": ""Increases predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 3.0, ""contribution"": -0.644958, ""direction"": ""Reduces predicted risk""}, {""feature"": ""anomaly_signal_count"", ""feature_value"": 3.0, ""contribution"": -0.596345, ""direction"": ""Reduces predicted risk""}, {""feature"": ""attack_path_score"", ""feature_value"": 80.0, ""contribution"": 0.386113, ""direction"": ""Increases predicted risk""}, {""feature"": ""vulnerability_score"", ""feature_value"": 21.0, ""contribution"": 0.337801, ""direction"": ""Increases predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.238738+00:00
LHT-Asset-013,application_server,0.403,Medium,True Negative,"[{""feature"": ""business_criticality"", ""feature_value"": 5.0, ""contribution"": 2.510442, ""direction"": ""Increases predicted risk""}, {""feature"": ""anomaly_signal_count"", ""feature_value"": 3.0, ""contribution"": -0.596345, ""direction"": ""Reduces predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 37.0, ""contribution"": -0.447284, ""direction"": ""Reduces predicted risk""}, {""feature"": ""control_effectiveness"", ""feature_value"": 83.0, ""contribution"": -0.333155, ""direction"": ""Reduces predicted risk""}, {""feature"": ""governance_risk_score"", ""feature_value"": 32.0, ""contribution"": -0.268535, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.238907+00:00
LHT-Asset-014,domain_controller,0.0018,Low,True Negative,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 2.0, ""contribution"": -1.734267, ""direction"": ""Reduces predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 0.0, ""contribution"": -1.104122, ""direction"": ""Reduces predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 25.0, ""contribution"": -0.912393, ""direction"": ""Reduces predicted risk""}, {""feature"": ""governance_risk_score"", ""feature_value"": 18.0, ""contribution"": -0.513663, ""direction"": ""Reduces predicted risk""}, {""feature"": ""detection_gap_score"", ""feature_value"": 18.0, ""contribution"": -0.472571, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.239072+00:00
LHT-Asset-015,workstation,0.1352,Low,True Negative,"[{""feature"": ""business_criticality"", ""feature_value"": 5.0, ""contribution"": 2.510442, ""direction"": ""Increases predicted risk""}, {""feature"": ""anomaly_signal_count"", ""feature_value"": 2.0, ""contribution"": -1.734267, ""direction"": ""Reduces predicted risk""}, {""feature"": ""detection_gap_score"", ""feature_value"": 25.0, ""contribution"": -0.366045, ""direction"": ""Reduces predicted risk""}, {""feature"": ""attack_path_score"", ""feature_value"": 31.0, ""contribution"": -0.320066, ""direction"": ""Reduces predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 9.0, ""contribution"": 0.273371, ""direction"": ""Increases predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.239238+00:00
LHT-Asset-016,firewall,0.0098,Low,True Negative,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 2.0, ""contribution"": -1.734267, ""direction"": ""Reduces predicted risk""}, {""feature"": ""business_criticality"", ""feature_value"": 4.0, ""contribution"": 1.217184, ""direction"": ""Increases predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 0.0, ""contribution"": -1.104122, ""direction"": ""Reduces predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 22.0, ""contribution"": -1.02867, ""direction"": ""Reduces predicted risk""}, {""feature"": ""governance_risk_score"", ""feature_value"": 13.0, ""contribution"": -0.601208, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.239401+00:00
LHT-Asset-017,windows_server,0.0458,Low,True Negative,"[{""feature"": ""business_criticality"", ""feature_value"": 5.0, ""contribution"": 2.510442, ""direction"": ""Increases predicted risk""}, {""feature"": ""anomaly_signal_count"", ""feature_value"": 2.0, ""contribution"": -1.734267, ""direction"": ""Reduces predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 2.0, ""contribution"": -0.798013, ""direction"": ""Reduces predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 32.0, ""contribution"": -0.641079, ""direction"": ""Reduces predicted risk""}, {""feature"": ""attack_path_score"", ""feature_value"": 28.0, ""contribution"": -0.363301, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.239564+00:00
LHT-Asset-018,workstation,0.0006,Low,True Negative,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 0.0, ""contribution"": -4.010113, ""direction"": ""Reduces predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 33.0, ""contribution"": -0.60232, ""direction"": ""Reduces predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 4.0, ""contribution"": -0.491903, ""direction"": ""Reduces predicted risk""}, {""feature"": ""governance_risk_score"", ""feature_value"": 22.0, ""contribution"": -0.443626, ""direction"": ""Reduces predicted risk""}, {""feature"": ""detection_gap_score"", ""feature_value"": 29.0, ""contribution"": -0.305173, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.239727+00:00
LHT-Asset-019,workstation,0.0012,Low,True Negative,"[{""feature"": ""business_criticality"", ""feature_value"": 1.0, ""contribution"": -2.66259, ""direction"": ""Reduces predicted risk""}, {""feature"": ""anomaly_signal_count"", ""feature_value"": 2.0, ""contribution"": -1.734267, ""direction"": ""Reduces predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 1.0, ""contribution"": -0.951068, ""direction"": ""Reduces predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 32.0, ""contribution"": -0.641079, ""direction"": ""Reduces predicted risk""}, {""feature"": ""vulnerability_score"", ""feature_value"": 5.0, ""contribution"": 0.489376, ""direction"": ""Increases predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.239890+00:00
LHT-Asset-020,application_server,0.0139,Low,True Negative,"[{""feature"": ""business_criticality"", ""feature_value"": 2.0, ""contribution"": -1.369332, ""direction"": ""Reduces predicted risk""}, {""feature"": ""anomaly_signal_count"", ""feature_value"": 3.0, ""contribution"": -0.596345, ""direction"": ""Reduces predicted risk""}, {""feature"": ""attack_path_score"", ""feature_value"": 92.0, ""contribution"": 0.559055, ""direction"": ""Increases predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 5.0, ""contribution"": -0.338849, ""direction"": ""Reduces predicted risk""}, {""feature"": ""failed_logons_24h"", ""feature_value"": 1.0, ""contribution"": -0.326987, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.240052+00:00
LHT-Asset-021,application_server,0.9918,Critical,True Positive,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 6.0, ""contribution"": 2.817424, ""direction"": ""Increases predicted risk""}, {""feature"": ""business_criticality"", ""feature_value"": 5.0, ""contribution"": 2.510442, ""direction"": ""Increases predicted risk""}, {""feature"": ""attack_path_score"", ""feature_value"": 90.0, ""contribution"": 0.530231, ""direction"": ""Increases predicted risk""}, {""feature"": ""governance_risk_score"", ""feature_value"": 73.0, ""contribution"": 0.449338, ""direction"": ""Increases predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 60.0, ""contribution"": 0.444175, ""direction"": ""Increases predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.240214+00:00
LHT-Asset-022,windows_server,0.3968,Medium,True Negative,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 6.0, ""contribution"": 2.817424, ""direction"": ""Increases predicted risk""}, {""feature"": ""business_criticality"", ""feature_value"": 1.0, ""contribution"": -2.66259, ""direction"": ""Reduces predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 11.0, ""contribution"": 0.57948, ""direction"": ""Increases predicted risk""}, {""feature"": ""attack_path_score"", ""feature_value"": 87.0, ""contribution"": 0.486996, ""direction"": ""Increases predicted risk""}, {""feature"": ""privileged_changes_7d"", ""feature_value"": 0.0, ""contribution"": -0.328147, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.240375+00:00
LHT-Asset-023,linux_server,0.0878,Low,True Negative,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 3.0, ""contribution"": -0.596345, ""direction"": ""Reduces predicted risk""}, {""feature"": ""attack_path_score"", ""feature_value"": 84.0, ""contribution"": 0.443761, ""direction"": ""Increases predicted risk""}, {""feature"": ""evidence_integrity_score"", ""feature_value"": 40.0, ""contribution"": -0.428435, ""direction"": ""Reduces predicted risk""}, {""feature"": ""identity_risk_score"", ""feature_value"": 100.0, ""contribution"": -0.410973, ""direction"": ""Reduces predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 5.0, ""contribution"": -0.338849, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.240537+00:00
LHT-Asset-024,firewall,1.0,Critical,True Positive,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 8.0, ""contribution"": 5.093269, ""direction"": ""Increases predicted risk""}, {""feature"": ""business_criticality"", ""feature_value"": 5.0, ""contribution"": 2.510442, ""direction"": ""Increases predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 100.0, ""contribution"": 1.994537, ""direction"": ""Increases predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 16.0, ""contribution"": 1.344754, ""direction"": ""Increases predicted risk""}, {""feature"": ""governance_risk_score"", ""feature_value"": 100.0, ""contribution"": 0.922084, ""direction"": ""Increases predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.240700+00:00
LHT-Asset-025,linux_server,0.0112,Low,True Negative,"[{""feature"": ""business_criticality"", ""feature_value"": 1.0, ""contribution"": -2.66259, ""direction"": ""Reduces predicted risk""}, {""feature"": ""anomaly_signal_count"", ""feature_value"": 3.0, ""contribution"": -0.596345, ""direction"": ""Reduces predicted risk""}, {""feature"": ""governance_risk_score"", ""feature_value"": 26.0, ""contribution"": -0.37359, ""direction"": ""Reduces predicted risk""}, {""feature"": ""attack_path_score"", ""feature_value"": 74.0, ""contribution"": 0.299642, ""direction"": ""Increases predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 9.0, ""contribution"": 0.273371, ""direction"": ""Increases predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.240862+00:00
LHT-Asset-026,windows_server,0.0203,Low,True Negative,"[{""feature"": ""business_criticality"", ""feature_value"": 5.0, ""contribution"": 2.510442, ""direction"": ""Increases predicted risk""}, {""feature"": ""anomaly_signal_count"", ""feature_value"": 2.0, ""contribution"": -1.734267, ""direction"": ""Reduces predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 2.0, ""contribution"": -0.798013, ""direction"": ""Reduces predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 28.0, ""contribution"": -0.796115, ""direction"": ""Reduces predicted risk""}, {""feature"": ""identity_risk_score"", ""feature_value"": 34.0, ""contribution"": 0.540665, ""direction"": ""Increases predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.241228+00:00
LHT-Asset-027,workstation,0.8408,Critical,True Positive,"[{""feature"": ""business_criticality"", ""feature_value"": 4.0, ""contribution"": 1.217184, ""direction"": ""Increases predicted risk""}, {""feature"": ""anomaly_signal_count"", ""feature_value"": 4.0, ""contribution"": 0.541578, ""direction"": ""Increases predicted risk""}, {""feature"": ""attack_path_score"", ""feature_value"": 21.0, ""contribution"": -0.464184, ""direction"": ""Reduces predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 10.0, ""contribution"": 0.426425, ""direction"": ""Increases predicted risk""}, {""feature"": ""control_effectiveness"", ""feature_value"": 38.0, ""contribution"": 0.415243, ""direction"": ""Increases predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.241438+00:00
LHT-Asset-028,workstation,0.7487,High,False Positive,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 5.0, ""contribution"": 1.679501, ""direction"": ""Increases predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 66.0, ""contribution"": 0.676729, ""direction"": ""Increases predicted risk""}, {""feature"": ""attack_path_score"", ""feature_value"": 85.0, ""contribution"": 0.458172, ""direction"": ""Increases predicted risk""}, {""feature"": ""identity_risk_score"", ""feature_value"": 100.0, ""contribution"": -0.410973, ""direction"": ""Reduces predicted risk""}, {""feature"": ""failed_logons_24h"", ""feature_value"": 69.0, ""contribution"": 0.410634, ""direction"": ""Increases predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.241607+00:00
LHT-Asset-029,application_server,0.0201,Low,True Negative,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 2.0, ""contribution"": -1.734267, ""direction"": ""Reduces predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 33.0, ""contribution"": -0.60232, ""direction"": ""Reduces predicted risk""}, {""feature"": ""detection_gap_score"", ""feature_value"": 21.0, ""contribution"": -0.426917, ""direction"": ""Reduces predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 10.0, ""contribution"": 0.426425, ""direction"": ""Increases predicted risk""}, {""feature"": ""vulnerability_score"", ""feature_value"": 12.0, ""contribution"": 0.423062, ""direction"": ""Increases predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.241773+00:00
LHT-Asset-030,siem_server,0.0017,Low,True Negative,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 1.0, ""contribution"": -2.87219, ""direction"": ""Reduces predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 33.0, ""contribution"": -0.60232, ""direction"": ""Reduces predicted risk""}, {""feature"": ""control_effectiveness"", ""feature_value"": 93.0, ""contribution"": -0.499465, ""direction"": ""Reduces predicted risk""}, {""feature"": ""governance_risk_score"", ""feature_value"": 24.0, ""contribution"": -0.408608, ""direction"": ""Reduces predicted risk""}, {""feature"": ""detection_gap_score"", ""feature_value"": 25.0, ""contribution"": -0.366045, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.241938+00:00
LHT-Asset-031,application_server,0.7186,High,False Positive,"[{""feature"": ""business_criticality"", ""feature_value"": 5.0, ""contribution"": 2.510442, ""direction"": ""Increases predicted risk""}, {""feature"": ""anomaly_signal_count"", ""feature_value"": 3.0, ""contribution"": -0.596345, ""direction"": ""Reduces predicted risk""}, {""feature"": ""control_effectiveness"", ""feature_value"": 35.0, ""contribution"": 0.465136, ""direction"": ""Increases predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 10.0, ""contribution"": 0.426425, ""direction"": ""Increases predicted risk""}, {""feature"": ""identity_risk_score"", ""feature_value"": 42.0, ""contribution"": 0.425315, ""direction"": ""Increases predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.242101+00:00
LHT-Asset-032,siem_server,0.0148,Low,True Negative,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 2.0, ""contribution"": -1.734267, ""direction"": ""Reduces predicted risk""}, {""feature"": ""business_criticality"", ""feature_value"": 4.0, ""contribution"": 1.217184, ""direction"": ""Increases predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 1.0, ""contribution"": -0.951068, ""direction"": ""Reduces predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 35.0, ""contribution"": -0.524802, ""direction"": ""Reduces predicted risk""}, {""feature"": ""failed_logons_24h"", ""feature_value"": 2.0, ""contribution"": -0.31614, ""direction"": ""Reduces predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.242264+00:00
LHT-Asset-033,firewall,0.9944,Critical,True Positive,"[{""feature"": ""anomaly_signal_count"", ""feature_value"": 7.0, ""contribution"": 3.955346, ""direction"": ""Increases predicted risk""}, {""feature"": ""business_criticality"", ""feature_value"": 2.0, ""contribution"": -1.369332, ""direction"": ""Reduces predicted risk""}, {""feature"": ""suricata_high_alerts_7d"", ""feature_value"": 16.0, ""contribution"": 1.344754, ""direction"": ""Increases predicted risk""}, {""feature"": ""residual_risk_score"", ""feature_value"": 75.0, ""contribution"": 1.025561, ""direction"": ""Increases predicted risk""}, {""feature"": ""failed_logons_24h"", ""feature_value"": 88.0, ""contribution"": 0.616734, ""direction"": ""Increases predicted risk""}]",Contributions are derived from the baseline logistic-regression model and support analyst interpretation. They do not establish causation or incident attribution.,2026-07-06T09:16:38.242426+00:00
